year,fall,count
1916,Fell,10
1916,Found,10
1917,Fell,10
1917,Found,9
1918,Fell,6
1918,Found,9
1919,Fell,7
1919,Found,7
1920,Fell,5
1920,Found,9
1921,Fell,8
1921,Found,10
1922,Fell,6
1922,Found,9
1923,Fell,6
1923,Found,10
1924,Fell,10
1924,Found,8
1925,Fell,9
1925,Found,9
1926,Fell,7
1926,Found,6
1927,Fell,6
1927,Found,10
1928,Fell,6
1928,Found,10
1929,Fell,7
1929,Found,8
1930,Fell,11
1930,Found,9
1931,Fell,6
1931,Found,16
1932,Fell,8
1932,Found,17
1933,Fell,17
1933,Found,13
1934,Fell,10
1934,Found,17
1935,Fell,6
1935,Found,13
1936,Fell,5
1936,Found,30
1937,Fell,7
1937,Found,47
1938,Fell,11
1938,Found,34
1939,Fell,10
1939,Found,22
1940,Fell,5
1940,Found,32
1941,Fell,4
1941,Found,19
1942,Fell,8
1942,Found,12
1943,Fell,3
1943,Found,7
1944,Fell,7
1944,Found,13
1945,Fell,4
1945,Found,7
1946,Fell,5
1946,Found,8
1947,Fell,6
1947,Found,13
1948,Fell,3
1948,Found,17
1949,Fell,13
1949,Found,10
1950,Fell,12
1950,Found,28
1951,Fell,7
1951,Found,13
1952,Fell,6
1952,Found,12
1953,Fell,3
1953,Found,6
1954,Fell,6
1954,Found,16
1955,Fell,4
1955,Found,20
1956,Fell,8
1956,Found,19
1957,Fell,6
1957,Found,12
1958,Fell,2
1958,Found,16
1959,Fell,6
1959,Found,10
1960,Fell,5
1960,Found,25
1961,Fell,7
1961,Found,20
1962,Fell,7
1962,Found,29
1963,Fell,7
1963,Found,27
1964,Fell,7
1964,Found,26
1965,Fell,4
1965,Found,46
1966,Fell,5
1966,Found,21
1967,Fell,9
1967,Found,28
1968,Fell,5
1968,Found,49
1969,Fell,6
1969,Found,64
1970,Fell,8
1970,Found,40
1971,Fell,7
1971,Found,42
1972,Fell,3
1972,Found,29
1973,Fell,4
1973,Found,27
1974,Fell,7
1974,Found,684
1975,Fell,4
1975,Found,333
1976,Fell,12
1976,Found,40
1977,Fell,10
1977,Found,411
1978,Fell,3
1978,Found,259
1979,Fell,2
1979,Found,3044
1980,Fell,6
1980,Found,146
1981,Fell,7
1981,Found,456
1982,Fell,3
1982,Found,341
1983,Fell,5
1983,Found,355
1984,Fell,10
1984,Found,392
1985,Fell,2
1985,Found,376
1986,Fell,9
1986,Found,1366
1987,Fell,1
1987,Found,915
1988,Fell,6
1988,Found,2290
1989,Fell,7
1989,Found,129
1990,Fell,8
1990,Found,1510
1991,Fell,5
1991,Found,872
1992,Fell,3
1992,Found,369
1993,Fell,4
1993,Found,975
1994,Fell,6
1994,Found,713
1995,Fell,6
1995,Found,481
1996,Fell,5
1996,Found,578
1997,Fell,3
1997,Found,1693
1998,Fell,9
1998,Found,2688
1999,Fell,7
1999,Found,1684
2000,Fell,4
2000,Found,1788
2001,Fell,5
2001,Found,1645
2002,Fell,8
2002,Found,2070
2003,Fell,9
2003,Found,3314
2004,Fell,6
2004,Found,1934
2005,Fell,0
2005,Found,875
2006,Fell,5
2006,Found,2451
2007,Fell,8
2007,Found,1181
2008,Fell,9
2008,Found,948
2009,Fell,5
2009,Found,1492
2010,Fell,6
2010,Found,999
2011,Fell,4
2011,Found,709
2012,Fell,2
2012,Found,232
2013,Fell,1
2013,Found,10
