recclass,count,rank
H3.10,2,305
H6/7,2,306
EL6/7,2,307
R3.7,2,308
EL-melt rock,2,309
LL6-melt breccia,2,310
H3.05,2,311
L(LL)3.05,2,312
H3.7-5,2,313
L3.9-6,2,314
LL6 ,2,315
H3.8-6,2,316
EH,2,317
H3.9-5,2,318
Lunar (bas. breccia),2,319
R3/4,2,320
"Iron, IC-an",2,321
CO3.7,1,322
L3.2-3.6,1,323
EH3/4-an,1,324
H5-7,1,325
L3.4-3.7,1,326
H3.8-5,1,327
R3.8-5,1,328
L3.9/4,1,329
L~3,1,330
L/LL3.10,1,331
L(LL)3.5-3.7,1,332
"Iron, IIIE-an",1,333
Mesosiderite?,1,334
L3.3-3.7,1,335
H/L3.7,1,336
L/LL6-an,1,337
LL3/4,1,338
H/L3.6,1,339
LL3.00,1,340
R3.5-6,1,341
L/LL3-6,1,342
H/L3.5,1,343
R3-4,1,344
H(L)3-an,1,345
L/LL~4,1,346
CR2-an,1,347
L3.0-3.7,1,348
H3.4/3.5,1,349
LL7(?),1,350
Martian (OPX),1,351
H/L3.9,1,352
Mesosiderite-A3/4,1,353
EH7-an,1,354
L3.7-6,1,355
L3.3-3.5,1,356
CH3 ,1,357
K,1,358
L3.10,1,359
C4/5,1,360
L3.5-5,1,361
L/LL(?)3,1,362
H4(?),1,363
Relict iron,1,364
L5-7,1,365
H3.7/3.8,1,366
H3 ,1,367
H6 ,1,368
H3.8-4,1,369
EL7,1,370
CH/CBb,1,371
H/L~4,1,372
LL3.7-6,1,373
Relict H,1,374
C2,1,375
L3.3-3.6,1,376
EL4/5,1,377
L(H)3,1,378
L/LL4/5,1,379
L3.8-an,1,380
C5/6-ung,1,381
CV2,1,382
R4/5,1,383
H/L3-4,1,384
CO3 ,1,385
L3.7/3.8,1,386
LL~4,1,387
LL~4/5,1,388
L(LL)~4,1,389
Impact melt breccia,1,390
L3.2-3.5,1,391
L3.5-3.9,1,392
H3-an,1,393
L3.00,1,394
C1-ung,1,395
H3.7-6,1,396
EH6-an,1,397
LL3.1-3.5,1,398
E5-an,1,399
H(?)4,1,400
H3.2-6,1,401
Lodranite-an,1,402
EL6 ,1,403
Pallasite?,1,404
LL5-7,1,405
L3.6-4,1,406
H/L4-5,1,407
H3.8/3.9,1,408
L4-an,1,409
EH7,1,410
L/LL4-6,1,411
CK3.8,1,412
CK3/4,1,413
LL<3.5,1,414
L6-melt rock,1,415
L(LL)6,1,416
H4-melt breccia,1,417
L(LL)5,1,418
L/LL5-6,1,419
LL3.9/4,1,420
L4-melt rock,1,421
H/L4/5,1,422
Stone-ung,1,423
CR-an,1,424
"Iron, IAB-sHL-an",1,425
CM2-an,1,426
L/LL-melt rock,1,427
C1/2-ung,1,428
LL3-4,1,429
LL(L)3.1,1,430
H3.0-3.4,1,431
LL6-an,1,432
Lunar (bas/gab brec),1,433
LL3.05,1,434
H3.2-3.7,1,435
L3.5-3.8,1,436
LL4/6,1,437
LL3.8-4,1,438
H3.15,1,439
L3.5-3.7,1,440
R3.4,1,441
Martian,1,442
"Iron, IIAB-an",1,443
LL6(?),1,444
H3.5-4,1,445
L3.7-3.9,1,446
L3.7-4,1,447
L3.0-3.9,1,448
Howardite-an,1,449
L3.9-5,1,450
C3.0-ung,1,451
Lunar (norite),1,452
CR7,1,453
R3.5-4,1,454
L~4-6,1,455
L3-melt breccia,1,456
L4-melt breccia,1,457
H3.4-5,1,458
H/L6-melt rock,1,459
L/LL3.6/3.7,1,460
L3-7,1,461
L/LL3.5,1,462
EL3/4,1,463
C3/4-ung,1,464
"Iron, IIE?",1,465
L/LL,1,466
